"fecha","hora","magnitud","profundidad_km","lugar","latitud","longitud"
"2024-08-20","01:34",4.8,52.385,"49 km SW of La Libertad, El Salvador",13.155,-89.6273
"2024-08-19","01:24",4.3,10,"15 km S of Conchagua, El Salvador",13.1656,-87.8447
"2024-08-15","16:45",4.4,75.557,"29 km SSW of Puerto El Triunfo, El Salvador",13.0448,-88.6781
"2024-08-10","13:06",4.3,69.286,"48 km WSW of Acajutla, El Salvador",13.4612,-90.2517
"2024-08-06","01:18",5,59.381,"23 km S of Acajutla, El Salvador",13.3852,-89.8134
"2024-07-30","14:35",4.7,172.595,"12 km SSE of Conchagua, El Salvador",13.2064,-87.815
"2024-07-27","03:27",4.8,66.605,"51 km SSW of Jucuarán, El Salvador",12.8088,-88.393
"2024-07-26","17:15",4.5,174.629,"4 km NE of Santiago de María, El Salvador",13.5168,-88.4422
"2024-07-13","12:26",4.1,48.932,"67 km SSW of Intipucá, El Salvador",12.6265,-88.2639
"2024-07-07","21:15",3.9,59.311,"64 km SW of San Francisco Menéndez, El Salvador",13.3979,-90.3988
"2024-06-20","02:34",4.1,60.58,"37 km SW of Puerto El Triunfo, El Salvador",13.0599,-88.8117
"2024-06-18","17:32",4.1,61.843,"54 km SSW of Chirilagua, El Salvador",12.7558,-88.3159
"2024-06-07","13:12",4.1,41.001,"65 km WSW of Acajutla, El Salvador",13.3034,-90.3548
"2024-05-05","11:00",4.3,10,"135 km SSW of Acajutla, El Salvador",12.4501,-90.2794
"2024-04-26","02:37",4.7,10,"158 km SSW of Puerto El Triunfo, El Salvador",12.0041,-89.2165
"2024-04-24","01:15",4.5,71.813,"39 km SSW of Puerto El Triunfo, El Salvador",12.9551,-88.6885
"2024-04-18","11:18",4.3,47.047,"44 km WSW of Acajutla, El Salvador",13.4533,-90.2127
"2024-04-17","08:38",4.3,10,"136 km S of Puerto El Triunfo, El Salvador",12.0506,-88.6139
"2024-04-07","11:49",5,193.139,"2 km S of Tenancingo, El Salvador",13.8143,-88.9836
"2024-04-04","01:38",5.1,54.6,"56 km SW of Puerto El Triunfo, El Salvador",12.8955,-88.8866
"2024-04-02","21:48",4.4,94.602,"15 km WSW of Guaymango, El Salvador",13.7042,-89.9807
"2024-03-26","23:37",4.3,59.316,"29 km S of Acajutla, El Salvador",13.3309,-89.867
"2024-03-26","18:24",4.7,10,"160 km S of La Libertad, El Salvador",12.0377,-89.3288
"2024-03-26","12:33",4.3,72.624,"19 km S of La Libertad, El Salvador",13.3139,-89.2871
"2024-03-25","01:43",4.4,39.019,"86 km S of La Libertad, El Salvador",12.7084,-89.409
"2024-03-14","21:13",4.9,63.337,"42 km S of Puerto El Triunfo, El Salvador",12.901,-88.5183
"2024-03-03","22:34",4,58.68,"40 km S of La Libertad, El Salvador",13.1278,-89.2942
"2024-03-02","21:20",4.3,94.214,"5 km E of Concepción de Ataco, El Salvador",13.8651,-89.7981
"2024-03-02","18:23",4.3,182.097,"4 km SSW of Chinameca, El Salvador",13.4609,-88.3685
"2024-02-17","02:56",4.5,45.026,"106 km S of Puerto El Triunfo, El Salvador",12.3294,-88.6949
"2024-02-06","20:04",5,65.871,"46 km SW of La Libertad, El Salvador",13.1591,-89.5919
"2024-02-06","08:10",4.2,55.022,"60 km S of Acajutla, El Salvador",13.0498,-89.7546
"2024-02-06","07:53",5.1,66.084,"47 km SW of La Libertad, El Salvador",13.1349,-89.5713
"2024-02-05","08:21",4.2,64.767,"2 km SSW of San Antonio del Monte, El Salvador",13.6963,-89.7436
"2024-02-03","01:24",4.5,35,"65 km SSE of Acajutla, El Salvador",13.0139,-89.7085
"2024-01-31","17:43",4.6,45.259,"97 km S of La Libertad, El Salvador",12.6093,-89.2963
"2024-01-30","17:41",4.2,35,"94 km S of La Libertad, El Salvador",12.6353,-89.2879
"2024-01-29","15:38",4.5,183.251,"13 km NNW of San Agustín, El Salvador",13.5419,-88.6575
"2024-01-27","15:51",4.2,68.112,"38 km S of Puerto El Triunfo, El Salvador",12.9353,-88.5583
"2024-01-25","16:08",4.7,80.334,"29 km S of La Libertad, El Salvador",13.2268,-89.357
"2024-01-19","08:59",4.2,51.647,"51 km WSW of Acajutla, El Salvador",13.372,-90.2464
"2024-01-08","21:31",4.3,35,"76 km SSW of Puerto El Triunfo, El Salvador",12.6184,-88.758
"2024-01-08","21:02",4.4,67.075,"29 km WSW of La Libertad, El Salvador",13.3546,-89.561
"2024-01-01","02:54",4.5,35,"103 km SSW of Puerto El Triunfo, El Salvador",12.4653,-89.0159
"2023-12-31","21:26",4.4,35,"97 km SSW of Puerto El Triunfo, El Salvador",12.4954,-88.9548
"2023-12-30","12:38",4.5,15.311,"125 km SSW of Puerto El Triunfo, El Salvador",12.3296,-89.1796
"2023-12-30","09:02",4.6,50.462,"98 km SSW of Puerto El Triunfo, El Salvador",12.5308,-89.032
"2023-12-28","07:54",4.8,62.641,"74 km S of Intipucá, El Salvador",12.5286,-88.1504
"2023-12-25","12:38",4.2,67.307,"45 km SW of Puerto El Triunfo, El Salvador",12.9652,-88.818
"2023-12-24","20:58",4.4,42.542,"75 km SSW of Puerto El Triunfo, El Salvador",12.6222,-88.7376
"2023-12-21","11:02",4.4,55.813,"40 km SSE of La Libertad, El Salvador",13.1324,-89.2326
"2023-12-20","16:37",4.6,61.838,"69 km SSW of Intipucá, El Salvador",12.5807,-88.1912
"2023-12-06","20:22",4.7,48.162,"76 km SSW of Puerto El Triunfo, El Salvador",12.6918,-88.92
"2023-12-04","00:58",4.1,35,"71 km WSW of Acajutla, El Salvador",13.3054,-90.4204
"2023-11-21","04:38",4.4,60.189,"62 km SW of Puerto El Triunfo, El Salvador",12.8188,-88.8769
"2023-11-17","16:00",4.2,55.517,"37 km SSW of Acajutla, El Salvador",13.2983,-90.0006
"2023-11-15","19:24",4.3,54.094,"32 km SSE of La Libertad, El Salvador",13.2049,-89.2451
"2023-11-05","14:42",4.4,10,"132 km SSW of Acajutla, El Salvador",12.5967,-90.5056
"2023-11-03","23:54",4.5,46.101,"106 km SSW of Chirilagua, El Salvador",12.2968,-88.399
"2023-10-20","22:27",4.4,10,"12 km NE of La Libertad, Honduras",14.8378,-87.5283
"2023-10-18","12:29",4.4,67.733,"28 km S of La Libertad, El Salvador",13.2327,-89.3175
"2023-10-17","12:35",4.3,62.302,"72 km SSW of Intipucá, El Salvador",12.5784,-88.2742
"2023-10-15","16:44",4.9,51.39,"102 km SSW of Chirilagua, El Salvador",12.3509,-88.4707
"2023-10-14","16:11",4.9,10,"16 km NE of La Libertad, Honduras",14.8821,-87.522
"2023-10-12","14:00",4.5,10,"13 km NNE of La Libertad, Honduras",14.8674,-87.5535
"2023-10-11","23:16",4.2,52.622,"66 km SSW of Puerto El Triunfo, El Salvador",12.6913,-88.678
"2023-10-09","16:25",4.4,65.842,"59 km SSW of Intipucá, El Salvador",12.6726,-88.1939
"2023-10-04","12:33",4.6,35,"98 km SSW of Intipucá, El Salvador",12.3381,-88.295
"2023-09-28","13:46",4.6,66.631,"52 km SW of Acajutla, El Salvador",13.2684,-90.1755
"2023-08-29","02:48",4.1,72.966,"54 km SSW of Chirilagua, El Salvador",12.7509,-88.2817
"2023-08-07","07:12",4.7,10,"99 km SSW of La Libertad, El Salvador",12.6197,-89.5753
"2023-07-25","22:32",4.6,45.872,"104 km S of La Libertad, El Salvador",12.5501,-89.2175
"2023-07-24","23:49",4.3,61.739,"53 km S of La Libertad, El Salvador",13.0066,-89.2884
"2023-07-24","00:53",4.1,58.013,"58 km SSW of Intipucá, El Salvador",12.6797,-88.1786
"2023-07-23","22:41",4.2,67.108,"61 km SSW of Chirilagua, El Salvador",12.6985,-88.3356
"2023-07-23","13:37",4.8,76.868,"50 km SSW of Chirilagua, El Salvador",12.7817,-88.2548
"2023-07-23","03:47",4.1,63.854,"61 km SSW of Chirilagua, El Salvador",12.6854,-88.2945
"2023-07-21","19:11",4.6,87.347,"28 km W of La Libertad, El Salvador",13.4486,-89.5828
"2023-07-19","13:59",4.4,63.497,"65 km SSW of Chirilagua, El Salvador",12.6448,-88.2945
"2023-07-19","10:36",4.4,64.33,"61 km SSW of Chirilagua, El Salvador",12.6902,-88.304
